Recency,Frequency,Monetary,Cluster,Customer ID,Profile
0.0,-0.3015634525657268,-0.11772772710859263,0,12346.0,Low
0.0,-0.11049941620500556,-0.16832474958971347,10,12347.0,High
0.0,-0.3669274650049209,-0.3414805583848139,0,12348.0,Low
0.0,0.045368613457688084,0.6620095707356876,7,12349.0,High
0.0,-0.36189946404805984,-0.30060431838451657,0,12351.0,Low
0.0,-0.3769834669186431,-0.294613332539021,0,12352.0,Low
0.0,-0.3669274650049209,-0.31305251465492356,0,12353.0,Low
0.0,-0.3568714630911987,-0.2967346543753638,0,12355.0,Low
0.0,-0.050163404722672535,-0.05587138103457554,10,12356.0,High
0.0,0.36213267373993646,1.2684511924110424,7,12357.0,High
0.0,-0.17586342864419968,-0.05971773381475751,10,12358.0,High
0.0,0.12078862781060437,0.28710673081280097,10,12359.0,High
0.0,-0.02502339993836711,-0.08059293935810867,10,12360.0,High
0.0,-0.371955465961782,-0.26629018933949933,0,12361.0,Low
0.0,-0.4624594831852815,-0.20672999931910602,0,12362.0,Low
0.0,-0.4524034812715594,-0.3523435910852066,0,12366.0,Low
0.0,-0.3769834669186431,-0.26611535512221834,0,12368.0,Low
0.0,0.00011660484593831684,-0.016918317424369174,10,12369.0,High
0.0,-0.2915074506520046,-0.09674762103487286,0,12370.0,Low
0.0,0.05542461537141025,0.1334391094372891,10,12371.0,High
0.0,-0.2814514487382825,-0.15795125269770757,0,12373.0,Low
0.0,-0.21608743629908836,-0.18403651791603248,0,12374.0,Low
0.0,-0.4021234717029485,-0.23656837240172968,0,12376.0,Low
0.0,-0.09038741237756122,-0.11678362233527523,10,12377.0,High
0.0,-0.05519140567953362,0.06247972845017472,10,12378.0,High
0.0,-0.2613394449108381,-0.2173366085008199,0,12379.0,Low
0.0,0.40235668139482517,2.4267861599700815,3,12380.0,Low
0.0,-0.14066742194617207,-0.07939241106611249,10,12385.0,High
0.0,-0.42726347648725393,-0.3328320924366472,0,12386.0,Low
0.0,-0.42223547553039287,-0.3292771300186002,0,12387.0,Low
0.0,-0.23619944012653268,-0.20132179419788046,0,12388.0,Low
0.0,-0.22111543725594943,-0.2066600656321936,0,12389.0,Low
0.0,0.40738468235168623,0.5588224156964425,7,12391.0,High
0.0,-0.432291477444115,-0.31716694656826977,0,12392.0,Low
0.0,-0.25128344299711597,-0.2190266726012029,0,12393.0,Low
0.0,0.025256609630243742,-0.019482552611157194,10,12395.0,High
0.0,-0.14066742194617207,-0.18404817353051786,0,12396.0,Low
0.0,-0.21105943534222726,-0.2419299550650136,0,12399.0,Low
0.0,-0.4121794736166707,-0.3208967432035977,0,12400.0,Low
0.0,-0.1708354276873386,-0.1307936709467259,0,12402.0,Low
0.0,-0.44737548031469826,-0.3249995195024584,0,12403.0,Low
0.0,-0.4624594831852815,-0.2845428816236355,0,12404.0,Low
0.0,-0.16077942577361642,-0.1731385183721836,0,12406.0,Low
0.0,-0.195975432471644,-0.1561096656090144,0,12408.0,Low
0.0,0.3118526641713256,0.1834300399651691,7,12409.0,High
0.0,-0.3970954707460874,-0.2698218405285755,0,12410.0,Low
0.0,-0.3568714630911987,-0.2711855474233673,0,12411.0,Low
0.0,-0.13563942098931098,-0.17109878583723864,10,12412.0,High
0.0,-0.4021234717029485,-0.21990084368760787,0,12413.0,Low
0.0,-0.41720747457353174,-0.004458465539476784,0,12414.0,Low
0.0,0.5984487187124075,0.40171638804773774,7,12415.0,High
0.0,-0.4121794736166707,-0.33857831037794933,0,12416.0,Low
0.0,0.4224686852222695,0.7926573535025345,7,12417.0,High
0.0,-0.12558341907558881,-0.10178284649256564,10,12418.0,High
0.0,-0.3417874602206155,-0.21128734458289736,0,12419.0,Low
0.0,-0.3669274650049209,-0.23387592545560232,0,12421.0,Low
0.0,0.20123664312038173,1.5339427791594809,7,12422.0,High
0.0,-0.2663674458676992,-0.21152045687260537,0,12423.0,Low
0.0,-0.15575142481675533,-0.22074004793055663,0,12424.0,Low
0.0,-0.19094743151478294,-0.21084443123245217,0,12425.0,Low
0.0,-0.23117143916967162,-0.17663520271780356,0,12426.0,Low
0.0,-0.41720747457353174,-0.30084908628870993,0,12427.0,Low
0.0,-0.08535941142070014,-0.09632801891339848,10,12429.0,High
0.0,0.3872726785242419,0.40843002199132805,7,12431.0,High
0.0,0.9705207895201279,0.3134134527063484,7,12433.0,High
0.0,-0.3669274650049209,-0.2788549417547604,0,12434.0,Low
0.0,-0.08535941142070014,-0.10135158875660583,10,12435.0,High
0.0,1.3627048641552926,0.9237247383908563,3,12437.0,Low
0.0,-0.11049941620500556,-0.05152383683152137,10,12439.0,High
0.0,-0.3065914535225879,-0.155049004690843,0,12440.0,Low
0.0,-0.4121794736166707,-0.3108029810592414,0,12441.0,Low
0.0,-0.36189946404805984,-0.21456257225329473,0,12443.0,Low
0.0,-0.3669274650049209,-0.29375081706710143,0,12445.0,Low
0.0,-0.41720747457353174,-0.32686441782012243,0,12449.0,Low
0.0,-0.32167545639317113,-0.2772581225702606,0,12450.0,Low
0.0,0.32190866608504776,0.057700926511160745,10,12451.0,High
0.0,-0.3417874602206155,-0.020753014590065753,0,12454.0,Low
0.0,0.22134864694782608,0.3447087775996471,7,12455.0,High
0.0,-0.3568714630911987,-0.19521425220753094,0,12457.0,Low
0.0,-0.23619944012653268,-0.16168104933303554,0,12458.0,Low
0.0,-0.35184346213433765,-0.24703511420961874,0,12459.0,Low
0.0,-0.3769834669186431,-0.2663368117974409,0,12460.0,Low
0.0,-0.4624594831852815,-0.29213068665363084,0,12466.0,Low
0.0,-0.42223547553039287,-0.34128241293856204,0,12467.0,Low
0.0,0.09564862302629894,-0.028702143669108452,10,12468.0,High
0.0,-0.08535941142070014,-0.09253994420564353,10,12469.0,High
0.0,-0.35184346213433765,-0.2529445107537165,0,12470.0,Low
0.0,2.931441162695951,2.379499332002814,8,12471.0,High
0.0,2.408529063182398,1.2376104364826748,8,12472.0,High
0.0,0.9705207895201279,0.6669865181209533,3,12474.0,Low
0.0,-0.3417874602206155,-0.2616978772322518,0,12475.0,Low
0.0,0.9453807847358224,0.9997193448356633,3,12476.0,Low
0.0,0.859904768469184,0.8588495881651206,3,12477.0,Low
0.0,-0.02502339993836711,-0.006090251567432739,10,12480.0,High
0.0,0.40738468235168623,0.581422652183633,7,12481.0,High
0.0,0.5582247110575188,2.002894772365059,3,12482.0,Low
0.0,-0.15072342385989423,0.18606420883886945,10,12483.0,High
0.0,0.1760966383360763,0.0779700401012711,10,12484.0,High
0.0,-0.29653545160886574,-0.262723571306967,0,12485.0,Low
0.0,-0.22111543725594943,-0.12388189155688378,0,12486.0,Low
0.0,-0.45743148222842045,-0.35359074183514433,0,12487.0,Low
0.0,0.6235887234967129,0.41275425496541146,7,12490.0,High
0.0,-0.3568714630911987,-0.2766636862315052,0,12492.0,Low
0.0,-0.29653545160886574,-0.1830807575282297,0,12494.0,Low
0.0,-0.38201146787550416,-0.24519352712092557,0,12495.0,Low
